ts_utc ,chat_id ,group_key ,telegram_user_id ,username ,decision ,reason
2026-01-14T10:35:30.803Z,-5207670658,PREMIUM_2026,1234315791,,ALLOW,allowlist_match
2026-01-14T10:36:07.006Z,-5159435631,RN_2026,1234315791,,ALLOW,allowlist_match
2026-01-14T10:37:45.470Z,-5207670658,PREMIUM_2026,8516681749,,DENY,not_allowlisted
2026-01-14T10:38:16.896Z,-5207670658,PREMIUM_2026,8516681749,,DENY,not_allowlisted
2026-01-14T10:39:44.439Z,,,8516681749,,RELINK,qa=samquatleumas@gmail.com | old=1234315791 | new=8516681749 | kick 3/3 ok; 0 failed
2026-01-14T10:41:45.192Z,-5207670658,PREMIUM_2026,8516681749,,ALLOW,allowlist_match
2026-01-14T10:42:06.764Z,-5159435631,RN_2026,8516681749,,ALLOW,allowlist_match
2026-01-14T11:06:29.848Z,,,1234315791,,RELINK,qa=samquatleumas@gmail.com | old=8516681749 | new=1234315791 | kick 3/3 ok; 0 failed
2026-01-14T11:07:19.604Z,-5207670658,PREMIUM_2026,1234315791,,ALLOW,allowlist_match
2026-01-14T11:07:36.406Z,-5159435631,RN_2026,1234315791,,ALLOW,allowlist_match
2026-01-14T11:18:21.060Z,,,8516681749,,RELINK,qa=samquatleumas@gmail.com | old=1234315791 | new=8516681749 | kick 3/3 ok; 0 failed
2026-01-14T11:19:09.869Z,-5207670658,PREMIUM_2026,8516681749,,ALLOW,allowlist_match
2026-01-14T18:31:10.030Z,-1003544395078,RM_2026,1234315791,,DENY,not_allowlisted
2026-01-14T18:32:42.387Z,-1003544395078,RM_2026,1234315791,,DENY,not_allowlisted
2026-01-14T18:36:53.644Z,-1003544395078,RM_2026,1234315791,,DENY,not_allowlisted
